dataset,phase,subject,shots_per_class,condition,gesture,q10,q50,q90,pattern_spread,windows,trials,status
libemg_contraction_intensity,final,9,1,Ramp,5,0.1267367811202027,0.25242810353642875,0.3194233613826656,0.3155623817406147,8,1,calibration-only signal range; no mechanical-force estimate
libemg_contraction_intensity,final,9,1,Ramp,6,0.2566722179094524,0.4061086960874673,0.6528236244182863,0.17994809045792176,8,1,calibration-only signal range; no mechanical-force estimate
libemg_contraction_intensity,final,9,2,Ramp,ALL_ACTIVE,0.1297350344898659,0.32061488008695155,0.5738191415952968,0.5372742875887146,96,12,calibration-only signal range; no mechanical-force estimate
libemg_contraction_intensity,final,9,2,Ramp,1,0.282015516541367,0.4645258882509427,0.6385001511257556,0.6807115245298734,16,2,calibration-only signal range; no mechanical-force estimate
libemg_contraction_intensity,final,9,2,Ramp,2,0.20394978489439364,0.3867192190986501,0.5790715993584047,0.5494085287489323,16,2,calibration-only signal range; no mechanical-force estimate
libemg_contraction_intensity,final,9,2,Ramp,3,0.24044144411026677,0.3677766878602566,0.5433713955940517,0.6027949737683416,16,2,calibration-only signal range; no mechanical-force estimate
libemg_contraction_intensity,final,9,2,Ramp,4,0.07439686917515966,0.12450777620014096,0.23875515891576843,0.7733823571830141,16,2,calibration-only signal range; no mechanical-force estimate
libemg_contraction_intensity,final,9,2,Ramp,5,0.1297350344898659,0.25242810353642875,0.3194233613826656,0.33785900455484175,16,2,calibration-only signal range; no mechanical-force estimate
libemg_contraction_intensity,final,9,2,Ramp,6,0.2566722179094524,0.4061086960874673,0.6032546685956787,0.2794893367472852,16,2,calibration-only signal range; no mechanical-force estimate
libemg_contraction_intensity,final,10,0,Ramp,ALL_ACTIVE,N/A,N/A,N/A,N/A,0,0,no target calibration
libemg_contraction_intensity,final,10,1,Ramp,ALL_ACTIVE,0.08478882267334377,0.1618379306646935,0.3063138480617562,0.3804266398955017,48,6,calibration-only signal range; no mechanical-force estimate
libemg_contraction_intensity,final,10,1,Ramp,1,0.11996081199189838,0.20513367178054817,0.3063138480617562,0.3381073172145498,8,1,calibration-only signal range; no mechanical-force estimate
libemg_contraction_intensity,final,10,1,Ramp,2,0.09220894786182457,0.24473833179882687,0.6151510107411884,0.4072710214293007,8,1,calibration-only signal range; no mechanical-force estimate
libemg_contraction_intensity,final,10,1,Ramp,3,0.08001380432352055,0.15352392680290003,0.23474097616846198,0.4224370255018423,8,1,calibration-only signal range; no mechanical-force estimate
libemg_contraction_intensity,final,10,1,Ramp,4,0.08392714303972587,0.0881410418587891,0.14542809386076044,0.42000209446784864,8,1,calibration-only signal range; no mechanical-force estimate
libemg_contraction_intensity,final,10,1,Ramp,5,0.08478882267334377,0.1618379306646935,0.24562602326701882,0.2636588593037276,8,1,calibration-only signal range; no mechanical-force estimate
libemg_contraction_intensity,final,10,1,Ramp,6,0.08062350681402938,0.17557283594314854,0.2609816927782512,0.43108352145574114,8,1,calibration-only signal range; no mechanical-force estimate
libemg_contraction_intensity,final,10,2,Ramp,ALL_ACTIVE,0.08699213415757467,0.16408859696245887,0.29733966798287653,0.4975559822259757,96,12,calibration-only signal range; no mechanical-force estimate
libemg_contraction_intensity,final,10,2,Ramp,1,0.11996081199189838,0.20513367178054817,0.30546768193135615,0.40006154180670894,16,2,calibration-only signal range; no mechanical-force estimate
libemg_contraction_intensity,final,10,2,Ramp,2,0.10376180526015932,0.24473833179882687,0.46811093413631066,0.5452352811484753,16,2,calibration-only signal range; no mechanical-force estimate
libemg_contraction_intensity,final,10,2,Ramp,3,0.08001380432352055,0.15672723760940205,0.23371179147489432,0.5632545556222115,16,2,calibration-only signal range; no mechanical-force estimate
libemg_contraction_intensity,final,10,2,Ramp,4,0.08083050167401526,0.09418438642725056,0.1387887782515301,0.7162439889466097,16,2,calibration-only signal range; no mechanical-force estimate
libemg_contraction_intensity,final,10,2,Ramp,5,0.08699213415757467,0.1618379306646935,0.24446658814483851,0.2651617367720581,16,2,calibration-only signal range; no mechanical-force estimate
libemg_contraction_intensity,final,10,2,Ramp,6,0.10483646922443439,0.17557283594314854,0.24732798985566737,0.4953787890597907,16,2,calibration-only signal range; no mechanical-force estimate
libemg_contraction_intensity,final,9,5,Ramp,ALL_ACTIVE,N/A,N/A,N/A,N/A,0,0,unsupported: only four Ramp trials/class
libemg_contraction_intensity,final,10,5,Ramp,ALL_ACTIVE,N/A,N/A,N/A,N/A,0,0,unsupported: only four Ramp trials/class
