item_id,document_heading,document_line,document_sha256,source_path,source_symbol,source_line_start,source_line_end,source_sha256,reviewed_status,dimension_formula,fixture_whole_class_dimension,boundary,scientific_completion
F3c,F3c. Ring-relative covariance,1480,4da8b372c8f07936c1156935114849f85c0d83957c1ecacc6a0b6462bdf3b1f0,src/emgimu/feature_bank/ring_covariance.py,RawRingCovarianceFamily,8,49,d091799a7921ff624abbf97afae3e513a106a82874bfa547957597f37a35b40f,candidate_formula,6 floor(C/2),24,New independent raw F2a covariance block with verified ring contract; legacy RingGeometryFamily instead uses envelope covariance and must remain a distinct proxy.,not_proven
F4a,F4a. Frequency coordination,1551,4da8b372c8f07936c1156935114849f85c0d83957c1ecacc6a0b6462bdf3b1f0,src/emgimu/feature_bank/families.py,SpectralStateFamily,295,354,32dcf4cd8f409d3dc68f3879fa0f801d7164b6aa268cbeff17eadb64ec73f4e4,reference_only,BC block,72,"Hann periodogram, four bands strictly below Nyquist and channel L2 band vectors; exact historical Frequency implementation unavailable.",not_proven
F4b,F4b. Spectral summary,1591,4da8b372c8f07936c1156935114849f85c0d83957c1ecacc6a0b6462bdf3b1f0,src/emgimu/feature_bank/families.py,SpectralStateFamily,295,354,32dcf4cd8f409d3dc68f3879fa0f801d7164b6aa268cbeff17eadb64ec73f4e4,candidate_formula,4C block,72,Periodogram total power/centroid/MDF and optional entropy normalized by log(number of bins); FFT power units not calibrated physical PSD.,not_proven
F4c,F4c. Cepstral / CCA-like candidate,1626,4da8b372c8f07936c1156935114849f85c0d83957c1ecacc6a0b6462bdf3b1f0,src/emgimu/feature_bank/families.py,SpectralStateFamily,295,354,32dcf4cd8f409d3dc68f3879fa0f801d7164b6aa268cbeff17eadb64ec73f4e4,candidate_formula,2K block,72,"Non-DC low-order unnormalized DCT-II mean/std across channels, K=4 prespecified; cepstral summary not reproduction of paper CCA.",not_proven
F4d,F4d. Personal/session-relative spectral shift,1663,4da8b372c8f07936c1156935114849f85c0d83957c1ecacc6a0b6462bdf3b1f0,src/emgimu/feature_bank/relative_spectrum.py,RelativeSpectrumCoordinates,34,44,cd6eb5abf66205f2cede0e83c36894bd5b6a80a7cf3a68889ab2ab09116630cc,partial,BC,N/A,Calibration-only mean log-band subtraction implemented; session-minus-long mean requires explicit separate references; context not fatigue.,not_proven
F5a,F5a. Existing G5,1705,4da8b372c8f07936c1156935114849f85c0d83957c1ecacc6a0b6462bdf3b1f0,src/emgimu/feature_bank/validated_unibo.py,ValidatedUniBoFamily,6,31,b0d320b8d9ba258afea1f4c3f26577c9b0a468d0ac072c5a26769fed53526827,validated_reuse_narrow,5C native G5,20,Calls unchanged native UniBo G5 at 4ch/processed200Hz: early-minus-late and raw waveform slope; different from new TemporalFormFamily late-minus-early/envelope slope.,not_proven
F5_reference,F5. Temporal Form,1697,4da8b372c8f07936c1156935114849f85c0d83957c1ecacc6a0b6462bdf3b1f0,src/emgimu/feature_bank/families.py,TemporalFormFamily,357,396,32dcf4cd8f409d3dc68f3879fa0f801d7164b6aa268cbeff17eadb64ec73f4e4,reference_only,7C+1,57,"New seven-channel metrics and map velocity; log early/late, normalized entropy/time differ from optional conceptual examples; cannot be called original G5.",not_proven
F5b,F5b. DTW / template distance,1777,4da8b372c8f07936c1156935114849f85c0d83957c1ecacc6a0b6462bdf3b1f0,src/emgimu/feature_bank/temporal.py,TemporalTemplateFamily,67,109,0a36d4b8ad9c7dd309354a352acaa0ff6bfe145c91e6cc3efd7f9036deedc292,partial,H,N/A,"DTW requires CompleteSequenceBatch, explicit full coverage and finite native durations >=1s; compressed bin rate cannot prove completeness. Legacy sparse MANUS runner refuses new execution; full UniBo bout replay preserved. Native boundary validity and stream segmentation remain separate.",not_proven
F5c,F5c. Low-order path signature（可选）,1826,4da8b372c8f07936c1156935114849f85c0d83957c1ecacc6a0b6462bdf3b1f0,src/emgimu/feature_bank/temporal.py,PathSignatureFamily,112,139,0a36d4b8ad9c7dd309354a352acaa0ff6bfe145c91e6cc3efd7f9036deedc292,optional_candidate,C+C squared,72,"Per-time L2 rectified path; centered start, levels1/2, no absolute time; scale-normalized raw rectification rather than smoothed envelope.",not_proven
F6a,F6a. IMU body-frame context,1867,4da8b372c8f07936c1156935114849f85c0d83957c1ecacc6a0b6462bdf3b1f0,src/emgimu/feature_bank/families.py,BodyContextFamily,399,446,32dcf4cd8f409d3dc68f3879fa0f801d7164b6aa268cbeff17eadb64ec73f4e4,partial,13 IMU block,15,"Real accel/gyro magnitude summaries and mean gravity direction present; calibration body-frame transform, gravity lowpass and linear acceleration RMS absent. No stable absolute yaw claimed.",not_proven
F6b,F6b. Public dataset posture context,1923,4da8b372c8f07936c1156935114849f85c0d83957c1ecacc6a0b6462bdf3b1f0,src/emgimu/feature_bank/families.py,BodyContextFamily,399,446,32dcf4cd8f409d3dc68f3879fa0f801d7164b6aa268cbeff17eadb64ec73f4e4,candidate_formula,P posture block,15,"Training-fixed posture one-hot, unseen category rejection; explicit oracle context, never fabricated IMU.",not_proven
F7,F7. Personal Anchor Coordinates,1941,4da8b372c8f07936c1156935114849f85c0d83957c1ecacc6a0b6462bdf3b1f0,src/emgimu/feature_bank/calibration.py,PersonalAnchor,43,111,64e18096b8b44b2b8b673b80c591fbc036965f48f97d89edc3a4f7780d65b1b8,partial,2H+2,N/A,"Mean/median prototypes, Euclidean/source-or-cal standardized/cosine distances, fixed-cal similarity and margins; optional shrinkage Mahalanobis and native SPD distance not present.",not_proven
F8,F8. Session Signature,2047,4da8b372c8f07936c1156935114849f85c0d83957c1ecacc6a0b6462bdf3b1f0,src/emgimu/feature_bank/calibration.py,SessionSignature,187,232,64e18096b8b44b2b8b673b80c591fbc036965f48f97d89edc3a4f7780d65b1b8,partial,2H+H(H-1)/2,N/A,"Residual norms, cosines and pair geometry exact generic block; family-specific scale/RLCS/spectral/SPD/quality summaries are separate partial study evidence, not complete in this API.",not_proven
F9_legacy,F9. Quality / Observability,2140,4da8b372c8f07936c1156935114849f85c0d83957c1ecacc6a0b6462bdf3b1f0,src/emgimu/feature_bank/families.py,QualityFamily,449,503,32dcf4cd8f409d3dc68f3879fa0f801d7164b6aa268cbeff17eadb64ec73f4e4,reference_only,6C+5,53,Legacy flatline is fraction of flat edges rather than longest run; unknown ADC yields zero without mask; optional low-frequency observation unavailable. Preserve legacy measurements.,not_proven
F9v2,F9. Quality / Observability,2140,4da8b372c8f07936c1156935114849f85c0d83957c1ecacc6a0b6462bdf3b1f0,src/emgimu/feature_bank/quality_observability.py,QualityObservabilityFamily,24,68,26c217802791292f7a21abac1b5d4a4a171c9fbdbca26f86beb2ecc9326389cc,partial,9C+8,80,"Adds longest consecutive flat edges/T, source thresholds, correlation anomaly, availability masks and conditional pre-highpass ratio. Legacy quality mask remains unchanged: new observation not automatically a validated fusion gate.",not_proven
CAL_A,A. Personal normalization,2310,4da8b372c8f07936c1156935114849f85c0d83957c1ecacc6a0b6462bdf3b1f0,src/emgimu/feature_bank/calibration.py,PersonalNormalizer,16,40,64e18096b8b44b2b8b673b80c591fbc036965f48f97d89edc3a4f7780d65b1b8,candidate_formula,C centers+C scales; output EMG unchanged shape,N/A,"Explicit rest median and active absolute Q95; raw/cal branches retained in integrated runs, source/current normalization comparison can decline.",not_proven
CAL_C,C. Personal natural force envelope,2370,4da8b372c8f07936c1156935114849f85c0d83957c1ecacc6a0b6462bdf3b1f0,src/emgimu/feature_bank/activation_profile.py,PersonalActivationProfile,17,46,912f07fc5c053e9b996b60f95a60b3f48c0f045d4ab6eb37b58f801ca4235b00,candidate_formula,3 quantiles plus C pattern mean and spread per native gesture,N/A,"Raw global RMS q10/q50/q90 equal-trial empirical CDF plus within-gesture pattern spread; exclude Rest, archive signal units, not measured force.",not_proven
CAL_D_E,D. Personal feature reliability,2399,4da8b372c8f07936c1156935114849f85c0d83957c1ecacc6a0b6462bdf3b1f0,src/emgimu/feature_bank/calibration.py,ReliabilityWeights,115,155,64e18096b8b44b2b8b673b80c591fbc036965f48f97d89edc3a4f7780d65b1b8,partial,K weights,N/A,"Between/within separation log-softmax and n0/(n0+N) shrinkage implemented; tau/n0 source CV exists only selected protocols, no global source-CV coverage claim.",not_proven
SESSION,七、Session Calibration v0,2476,4da8b372c8f07936c1156935114849f85c0d83957c1ecacc6a0b6462bdf3b1f0,src/emgimu/feature_bank/session_pipeline.py,SessionCalibrationPipeline,18,106,a11d755be762757384716c8647aa4c1f6893677cea9d61a429035bfc72203e20,partial,two-family branch-specific state,N/A,"Current rest/scale/quality/signature/local prototypes preserve long profile; controlled native wearing0/1 only, 2/5 unsupported per domain, current device/calendar-day validation missing.",not_proven
FUSION,八、Late Fusion：精确定义,2514,4da8b372c8f07936c1156935114849f85c0d83957c1ecacc6a0b6462bdf3b1f0,src/emgimu/feature_bank/calibration.py,late_fusion,158,184,64e18096b8b44b2b8b673b80c591fbc036965f48f97d89edc3a4f7780d65b1b8,partial,H output probabilities,N/A,Nonnegative weighted probabilities and clipped quality renormalization; reject-all fallback retains valid distribution but explicit Unknown output absent here. Empirical source probability calibration audited for specified runs only.,not_proven
